data,n_aparicoes,pgs
2011-04-11,14,"[19, 4, 20]"
2011-04-12,1,[4]
2011-04-13,2,"[4, 15]"
2011-04-14,2,"[9, 4]"
2011-04-15,13,"[16, 4, 62, 63]"
2011-04-18,33,"[1, 4, 14, 15, 16, 18, 25]"
2011-04-19,4,"[18, 4]"
2011-04-20,4,"[4, 21]"
2011-04-25,11,"[10, 11, 4]"
2011-04-26,3,"[16, 4]"
2011-04-27,3,"[4, 12]"
2011-04-28,4,"[10, 43, 4]"
2011-04-29,1,[4]
2011-05-02,2,"[4, 13]"
2011-05-03,1,[4]
2011-05-04,2,"[4, 22]"
2011-05-05,6,"[11, 4, 20]"
2011-05-06,2,"[17, 4]"
2011-05-09,3,"[11, 4]"
2011-05-10,2,"[9, 4]"
2011-05-11,3,"[11, 4]"
2011-05-12,6,"[11, 4, 12]"
2011-05-13,5,"[34, 4, 38, 14, 23]"
2011-05-16,6,"[9, 11, 4, 62]"
2011-05-17,6,"[10, 4, 37]"
2011-05-18,2,"[4, 20]"
2011-05-19,2,"[4, 53]"
2011-05-20,2,"[19, 4]"
2011-05-23,7,"[11, 4, 5, 30]"
2011-05-24,1,[4]
2011-05-25,5,"[4, 13]"
2011-05-26,7,"[35, 4, 9, 48, 24, 29, 30]"
2011-05-27,1,[4]
2011-05-30,4,"[10, 4]"
2011-05-31,1,[4]
2011-06-01,2,"[18, 4]"
2011-06-02,1,[4]
2011-06-03,4,"[16, 4]"
2011-06-06,3,"[4, 14]"
2011-06-07,2,"[4, 14]"
2011-06-08,2,"[4, 15]"
2011-06-09,4,"[4, 12]"
2011-06-10,1,[6]
2011-06-13,3,"[4, 15]"
2011-06-14,5,"[10, 4]"
2011-06-15,1,[4]
2011-06-16,6,"[11, 4, 12]"
2011-06-17,9,"[24, 4, 12]"
2011-06-20,2,"[4, 13]"
2011-06-21,3,"[4, 28, 14]"
2011-06-22,5,"[13, 4, 5]"
2011-06-27,4,"[4, 13]"
2011-06-28,3,"[11, 4]"
2011-06-29,6,"[4, 14]"
2011-06-30,6,"[17, 4]"
2011-07-01,7,"[4, 5, 14]"
2011-07-04,2,"[18, 4]"
2011-07-05,4,"[16, 4]"
2011-07-06,5,"[4, 13]"
2011-07-07,8,"[11, 4]"
2011-07-08,8,"[4, 5, 14, 15]"
2011-07-11,3,"[10, 4]"
2011-07-12,6,"[4, 12]"
2011-07-13,10,"[24, 25, 4, 15]"
2011-07-14,8,"[24, 25, 4]"
2011-07-15,3,"[4, 13]"
2011-07-18,1,[4]
2011-07-19,1,[4]
2011-07-20,8,"[4, 13, 14]"
2011-07-21,3,"[19, 4]"
2011-07-22,4,"[4, 37, 15]"
2011-07-25,6,"[16, 4, 15]"
2011-07-26,1,[4]
2011-07-27,11,"[4, 21, 22]"
2011-07-28,1,[4]
2011-07-29,9,"[4, 38]"
2011-08-01,1,[4]
2011-08-02,6,"[24, 4, 23]"
2011-08-03,1,[4]
2011-08-04,5,"[19, 4, 39]"
2011-08-05,14,"[29, 4, 28]"
2011-08-08,11,"[4, 41, 42, 45, 18]"
2011-08-09,4,"[35, 4]"
2011-08-10,4,"[42, 35, 4]"
2011-08-11,1,[4]
2011-08-12,12,"[29, 4, 28]"
2011-08-16,9,"[8, 27, 4]"
2011-08-17,2,"[11, 4]"
2011-08-18,2,"[33, 4]"
2011-08-19,6,"[32, 4, 36]"
2011-08-22,3,"[4, 39]"
2011-08-23,4,"[4, 29]"
2011-08-24,8,"[40, 41, 4]"
2011-08-25,32,"[32, 33, 4, 38, 43, 44, 45, 47, 48]"
2011-08-26,4,"[4, 31]"
2011-08-29,4,"[26, 4]"
2011-08-30,6,"[9, 42, 43, 4]"
2011-08-31,5,"[26, 4]"
2011-09-01,1,[4]
2011-09-02,3,"[4, 28]"
2011-09-05,4,"[32, 4, 31]"
2011-09-06,10,"[81, 17, 4, 12]"
2011-09-08,8,"[27, 4]"
2011-09-09,1,[4]
2011-09-12,8,"[40, 4]"
2011-09-13,3,"[4, 29]"
2011-09-14,5,"[4, 23]"
2011-09-15,1,[4]
2011-09-16,3,"[4, 47]"
2011-09-19,10,"[27, 4, 28]"
2011-09-20,3,"[25, 4]"
2011-09-21,32,"[4, 42, 51, 53, 54, 55, 30]"
2011-09-22,8,"[4, 37]"
2011-09-23,13,"[4, 45, 46]"
2011-09-26,4,"[4, 5, 36, 7]"
2011-09-27,10,"[4, 22, 23]"
2011-09-28,6,"[4, 37, 36, 10, 43, 29]"
2011-09-29,5,"[4, 29, 31]"
2011-09-30,4,"[4, 36]"
2011-10-03,3,"[25, 4, 63]"
2011-10-04,2,"[4, 23]"
2011-10-05,2,"[24, 4]"
2011-10-06,4,"[4, 31]"
2011-10-07,1,[4]
2011-10-11,2,"[4, 21]"
2011-10-13,2,"[4, 52]"
2011-10-14,15,"[40, 4]"
2011-10-17,4,"[4, 22, 55]"
2011-10-18,20,"[4, 30, 31]"
2011-10-19,8,"[27, 4]"
2011-10-20,8,"[27, 4, 31]"
2011-10-21,4,"[4, 23]"
2011-10-25,9,"[4, 23]"
2011-10-26,4,"[26, 4]"
2011-10-27,2,"[41, 4]"
2011-10-31,7,"[40, 4, 37, 38]"
2011-11-01,2,"[27, 4]"
2011-11-03,18,"[24, 25, 26, 4]"
2011-11-04,5,"[35, 4, 36]"
2011-11-07,7,"[72, 25, 4]"
2011-11-08,11,"[29, 4, 28, 60]"
2011-11-09,3,"[33, 4]"
2011-11-10,7,"[4, 79, 39]"
2011-11-11,3,"[40, 4]"
2011-11-16,6,"[62, 4, 21, 60]"
2011-11-17,7,"[40, 4, 79, 39]"
2011-11-18,1,[4]
2011-11-21,9,"[32, 4]"
